	TFm_0020.HK_pos_good9_mult_28	TFm_0020.HK_pos_good9_mult_28_per	TFm_0020.HK_pos_good9_mult_64	TFm_0020.HK_pos_good9_mult_64_per	TFm_0020.HK_pos_good9_mult_128	TFm_0020.HK_pos_good9_mult_128_per	TFm_0020.HK_pos_good9_mult_conv2	TFm_0020.HK_pos_good9_mult_conv2_per	TFm_0020.HK_pos_good9_mult_conv	TFm_0020.HK_pos_good9_mult_conv_per	TFm_0020.HK_pos_good9__simp_cordo	TFm_0020.HK_pos_good9__simp_cordo_per	TFm_0020.HK_pos_good9_mult_linear	TFm_0020.HK_pos_good9_mult_linear_per	TFm_0020.HK_pos_good9_mult_dense2	TFm_0020.HK_pos_good9_mult_dense2_per	TFm_0020.HK_pos_good9_mult_lstm	TFm_0020.HK_pos_good9_mult_lstm_per	TFm_0020.HK_pos_good9__mult_gru	TFm_0020.HK_pos_good9__mult_gru_per
acc_per	73.87	-1.0	84.03	-1.0	92.74	-1.0	88.38	-1.0	94.46	-1.0	70.78	-1.0	67.24	-1.0	90.65	-1.0	92.83	-1.0	92.65	-1.0
loss	0.51	-1.0	0.37	-1.0	0.19	-1.0	0.28	-1.0	0.19	-1.0	0.57	-1.0	0.58	-1.0	0.23	-1.0	0.19	-1.0	0.19	-1.0
epochs	8	-1.0	9	-1.0	8	-1.0	9	-1.0	10	-1.0	8	-1.0	13	-1.0	12	-1.0	9	-1.0	11	-1.0
df_test_%	3.2	-1.0	12.3	-1.0	18.6	-1.0	17.4	-1.0	21.8	-1.0	7.3	-1.0	16.3	-1.0	0.0	-1.0	16.3	-1.0	21.8	-1.0
positives	8	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0
count	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0
mean	0.5204	-1.0	0.555	-1.0	0.5691	-1.0	0.7287	-1.0	0.6461	-1.0	0.5361	-1.0	0.693	-1.0	0.4434	-1.0	0.4789	-1.0	0.7065	-1.0
std	0.0591	-1.0	0.1357	-1.0	0.1229	-1.0	0.1372	-1.0	0.2139	-1.0	0.0091	-1.0	0.1303	-1.0	0.2142	-1.0	0.2171	-1.0	0.2752	-1.0
min	0.3464	-1.0	0.3007	-1.0	0.3065	-1.0	0.4111	-1.0	0.1537	-1.0	0.5071	-1.0	0.274	-1.0	0.0211	-1.0	0.1119	-1.0	0.0142	-1.0
25%	0.476	5.41	0.4497	5.41	0.473	5.41	0.6327	5.41	0.4905	5.41	0.5306	5.37	0.6106	4.73	0.2725	4.73	0.2912	5.41	0.5769	5.41
50%	0.5184	8.08	0.529	6.06	0.5743	6.06	0.7327	5.05	0.6672	6.06	0.5376	5.05	0.714	6.06	0.4433	5.05	0.4622	6.06	0.793	8.08
60%	0.5361	7.69	0.5727	6.33	0.6043	6.33	0.7858	6.33	0.746	6.33	0.5391	5.0	0.7386	5.06	0.5047	5.06	0.5229	7.59	0.8635	8.86
70%	0.5568	6.67	0.6281	8.33	0.645	8.33	0.8378	8.33	0.7888	8.33	0.5415	3.28	0.7775	6.67	0.5643	5.0	0.5819	8.33	0.9014	10.0
75%	0.5703	2.0	0.656	10.0	0.6714	8.0	0.8505	10.0	0.8206	10.0	0.5428	4.0	0.7923	8.0	0.598	6.0	0.621	10.0	0.9298	12.0
80%	0.5752	2.56	0.6869	12.5	0.6877	10.0	0.8657	10.0	0.8647	12.5	0.5434	5.26	0.8044	10.0	0.6468	5.0	0.675	10.0	0.9442	12.5
85%	0.5894	3.33	0.7128	13.33	0.7077	13.33	0.8762	13.33	0.8839	13.33	0.5451	6.9	0.8186	10.0	0.6895	0.0	0.7315	13.33	0.9534	13.79
86%	0.5909	3.57	0.7214	14.29	0.7104	14.29	0.8792	14.29	0.8884	14.29	0.5452	7.14	0.8226	10.71	0.6969	0.0	0.736	14.29	0.954	14.81
87%	0.5928	3.85	0.7251	11.54	0.7171	15.38	0.8808	15.38	0.8927	15.38	0.5458	7.69	0.8315	11.54	0.6984	0.0	0.7396	15.38	0.9547	15.38
88%	0.5937	4.17	0.7332	12.5	0.7218	16.67	0.8862	16.67	0.8948	16.67	0.5467	8.33	0.8356	12.5	0.7049	0.0	0.7483	12.5	0.958	16.67
89%	0.5945	4.55	0.7389	13.64	0.7229	18.18	0.8911	18.18	0.8978	18.18	0.5468	9.09	0.8381	13.64	0.7113	0.0	0.7582	13.64	0.9607	18.18
90%	0.5954	5.0	0.7454	10.0	0.7253	20.0	0.8936	20.0	0.9039	20.0	0.5472	10.0	0.8444	15.0	0.7183	0.0	0.7693	15.0	0.9621	20.0
91%	0.5985	5.56	0.76	11.11	0.7314	16.67	0.8945	16.67	0.9179	22.22	0.5472	10.0	0.8593	16.67	0.7293	0.0	0.7738	16.67	0.9636	22.22
92%	0.6027	0.0	0.7658	12.5	0.7358	18.75	0.9024	18.75	0.9207	25.0	0.5474	6.25	0.8718	18.75	0.7641	0.0	0.7798	18.75	0.9666	25.0
93%	0.6083	0.0	0.7674	14.29	0.7401	21.43	0.9037	14.29	0.9221	28.57	0.5476	0.0	0.8762	21.43	0.7807	0.0	0.8123	21.43	0.9683	28.57
94%	0.6109	0.0	0.7732	15.38	0.7479	16.67	0.9058	16.67	0.9234	25.0	0.5481	0.0	0.88	25.0	0.7833	0.0	0.859	25.0	0.9709	33.33
95%	0.6127	0.0	0.7782	20.0	0.7532	20.0	0.9111	20.0	0.9252	20.0	0.5486	0.0	0.8844	30.0	0.7931	0.0	0.9127	30.0	0.9751	30.0
96%	0.6155	0.0	0.7911	25.0	0.7579	25.0	0.9143	25.0	0.9309	25.0	0.5492	0.0	0.8976	37.5	0.7999	0.0	0.9482	37.5	0.9771	37.5
97%	0.6169	0.0	0.8254	33.33	0.7959	33.33	0.9314	33.33	0.9378	33.33	0.55	0.0	0.9092	50.0	0.8192	0.0	0.9573	33.33	0.9788	50.0
98%	0.6212	0.0	0.8466	50.0	0.8197	50.0	0.9412	20.0	0.9425	50.0	0.5504	0.0	0.9122	25.0	0.8235	0.0	0.9672	50.0	0.9823	40.0
max	0.6709	-1.0	0.9176	-1.0	0.8575	-1.0	0.9625	-1.0	0.9757	-1.0	0.5587	-1.0	0.9601	-1.0	0.915	-1.0	0.986	-1.0	0.9871	-1.0
