	TFm_1299.HK_neg_reg4_mult_28	TFm_1299.HK_neg_reg4_mult_28_per	TFm_1299.HK_neg_reg4_mult_64	TFm_1299.HK_neg_reg4_mult_64_per	TFm_1299.HK_neg_reg4_mult_128	TFm_1299.HK_neg_reg4_mult_128_per	TFm_1299.HK_neg_reg4_mult_conv2	TFm_1299.HK_neg_reg4_mult_conv2_per	TFm_1299.HK_neg_reg4_mult_conv	TFm_1299.HK_neg_reg4_mult_conv_per	TFm_1299.HK_neg_reg4__simp_cordo	TFm_1299.HK_neg_reg4__simp_cordo_per	TFm_1299.HK_neg_reg4_mult_linear	TFm_1299.HK_neg_reg4_mult_linear_per	TFm_1299.HK_neg_reg4_mult_dense2	TFm_1299.HK_neg_reg4_mult_dense2_per	TFm_1299.HK_neg_reg4_mult_lstm	TFm_1299.HK_neg_reg4_mult_lstm_per	TFm_1299.HK_neg_reg4__mult_gru	TFm_1299.HK_neg_reg4__mult_gru_per
acc_per	80.86	-1.0	90.19	-1.0	92.03	-1.0	81.58	-1.0	90.67	-1.0	76.00	-1.0	70.73	-1.0	89.00	-1.0	92.50	-1.0	87.32	-1.0
loss	0.45	-1.0	0.27	-1.0	0.21	-1.0	0.51	-1.0	0.25	-1.0	0.53	-1.0	0.56	-1.0	0.26	-1.0	0.18	-1.0	0.31	-1.0
epochs	8	-1.0	11	-1.0	8	-1.0	11	-1.0	8	-1.0	8	-1.0	8	-1.0	9	-1.0	10	-1.0	8	-1.0
df_test_%	14.0	-1.0	24.2	-1.0	13.3	-1.0	13.8	-1.0	16.9	-1.0	8.1	-1.0	23.4	-1.0	17.7	-1.0	30.8	-1.0	13.9	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0
mean	0.5121	-1.0	0.5084	-1.0	0.5349	-1.0	0.6512	-1.0	0.4871	-1.0	0.5382	-1.0	0.576	-1.0	0.5163	-1.0	0.4187	-1.0	0.5029	-1.0
std	0.0891	-1.0	0.264	-1.0	0.1311	-1.0	0.1557	-1.0	0.1422	-1.0	0.021	-1.0	0.1615	-1.0	0.2032	-1.0	0.2965	-1.0	0.1561	-1.0
min	0.2574	-1.0	0.0334	-1.0	0.189	-1.0	0.2269	-1.0	0.1388	-1.0	0.4273	-1.0	0.0238	-1.0	0.0	-1.0	0.0006	-1.0	0.1404	-1.0
25%	0.4437	6.98	0.2966	7.02	0.4374	7.02	0.5221	6.98	0.392	7.02	0.5249	5.81	0.4968	6.43	0.4058	6.98	0.1501	7.02	0.3752	7.02
50%	0.5141	8.77	0.5077	9.65	0.5259	10.43	0.6568	8.77	0.4938	8.77	0.5415	7.83	0.6042	7.89	0.5072	7.89	0.4038	9.65	0.5289	9.57
60%	0.5354	9.78	0.5754	11.96	0.5707	13.04	0.7149	7.61	0.5277	7.61	0.547	7.61	0.6387	8.7	0.5532	7.61	0.5179	10.87	0.5833	9.78
70%	0.561	10.14	0.6771	15.94	0.62	14.49	0.7571	8.7	0.5604	7.25	0.5507	7.14	0.6672	11.59	0.5982	8.7	0.6745	14.49	0.6274	8.7
75%	0.5774	10.34	0.7334	17.24	0.6311	15.79	0.7849	8.62	0.5832	8.77	0.5535	8.62	0.6799	10.34	0.6169	10.53	0.7291	17.24	0.6406	10.53
80%	0.5924	10.87	0.8087	19.57	0.6559	17.39	0.8159	10.87	0.6082	8.7	0.5556	8.7	0.7006	13.04	0.682	13.04	0.7807	21.74	0.6608	8.7
85%	0.6087	14.29	0.8297	17.14	0.6884	17.14	0.8261	14.29	0.6334	11.43	0.5592	8.57	0.724	14.29	0.7372	11.43	0.7934	22.86	0.6716	11.43
86%	0.6139	9.38	0.8327	18.75	0.6903	15.62	0.832	15.62	0.6467	12.5	0.5597	9.38	0.7311	15.62	0.7394	12.5	0.7958	25.0	0.6739	12.5
87%	0.6168	10.0	0.8439	20.0	0.6988	16.67	0.8362	16.67	0.6596	13.33	0.5602	10.0	0.7376	16.67	0.7584	13.33	0.7971	26.67	0.6783	13.33
88%	0.6187	10.71	0.8548	21.43	0.7027	14.29	0.8391	17.86	0.6648	14.29	0.5606	10.71	0.7401	17.86	0.7687	14.29	0.798	25.0	0.6816	14.29
89%	0.6283	11.54	0.8573	23.08	0.7061	15.38	0.8435	19.23	0.6685	16.0	0.5608	7.69	0.7459	19.23	0.7848	15.38	0.7999	29.17	0.6874	15.38
90%	0.6331	13.04	0.8708	26.09	0.71	13.04	0.8505	13.04	0.677	17.39	0.5615	8.7	0.7471	21.74	0.8068	17.39	0.8033	29.17	0.692	17.39
91%	0.6353	14.29	0.8735	28.57	0.713	14.29	0.8588	9.52	0.6822	19.05	0.562	9.52	0.7639	23.81	0.8129	19.05	0.8046	33.33	0.7009	14.29
92%	0.6385	15.79	0.8876	21.05	0.7173	10.53	0.8637	10.53	0.6916	15.79	0.563	5.26	0.7742	26.32	0.8189	21.05	0.8112	36.84	0.7027	10.53
93%	0.6411	18.75	0.9048	25.0	0.7196	12.5	0.8667	12.5	0.6977	18.75	0.5635	6.67	0.782	31.25	0.8319	18.75	0.8136	31.25	0.7043	11.76
94%	0.6442	21.43	0.9109	28.57	0.733	14.29	0.8725	14.29	0.7116	14.29	0.5649	7.14	0.7862	28.57	0.8451	21.43	0.8182	35.71	0.7056	7.14
95%	0.6518	16.67	0.916	25.0	0.7437	16.67	0.8756	16.67	0.7227	16.67	0.5655	8.33	0.797	25.0	0.8599	25.0	0.8227	33.33	0.71	8.33
96%	0.6573	20.0	0.9251	30.0	0.7503	20.0	0.8779	20.0	0.7275	20.0	0.5667	0.0	0.8037	30.0	0.8798	30.0	0.8287	33.33	0.7154	10.0
97%	0.6744	28.57	0.9332	42.86	0.7539	28.57	0.8807	14.29	0.7343	28.57	0.5683	0.0	0.8091	28.57	0.9157	42.86	0.8401	42.86	0.7184	14.29
98%	0.6879	20.0	0.9365	60.0	0.7638	40.0	0.8825	20.0	0.7637	40.0	0.5689	0.0	0.8118	20.0	0.9348	60.0	0.8559	60.0	0.7253	20.0
max	0.7454	-1.0	0.9754	-1.0	0.8601	-1.0	0.942	-1.0	0.8784	-1.0	0.571	-1.0	0.8376	-1.0	0.9674	-1.0	0.8931	-1.0	0.7477	-1.0
