	TFm_PYPL_pos_low1_mult_28	TFm_PYPL_pos_low1_mult_28_per	TFm_PYPL_pos_low1_mult_64	TFm_PYPL_pos_low1_mult_64_per	TFm_PYPL_pos_low1_mult_128	TFm_PYPL_pos_low1_mult_128_per	TFm_PYPL_pos_low1_mult_conv2	TFm_PYPL_pos_low1_mult_conv2_per	TFm_PYPL_pos_low1_mult_conv	TFm_PYPL_pos_low1_mult_conv_per	TFm_PYPL_pos_low1__simp_cordo	TFm_PYPL_pos_low1__simp_cordo_per	TFm_PYPL_pos_low1_mult_linear	TFm_PYPL_pos_low1_mult_linear_per	TFm_PYPL_pos_low1_mult_dense2	TFm_PYPL_pos_low1_mult_dense2_per	TFm_PYPL_pos_low1_mult_lstm	TFm_PYPL_pos_low1_mult_lstm_per	TFm_PYPL_pos_low1__mult_gru	TFm_PYPL_pos_low1__mult_gru_per
acc_per	92.12	-1.0	94.68	-1.0	97.24	-1.0	88.76	-1.0	99.47	-1.0	92.05	-1.0	85.09	-1.0	95.07	-1.0	97.11	-1.0	96.78	-1.0
loss	0.20	-1.0	0.15	-1.0	0.08	-1.0	0.29	-1.0	0.03	-1.0	0.19	-1.0	0.32	-1.0	0.16	-1.0	0.09	-1.0	0.10	-1.0
epochs	9	-1.0	8	-1.0	8	-1.0	10	-1.0	13	-1.0	15	-1.0	9	-1.0	20	-1.0	11	-1.0	14	-1.0
df_test_%	22.5	-1.0	21.8	-1.0	23.3	-1.0	20.6	-1.0	19.4	-1.0	25.0	-1.0	21.8	-1.0	17.3	-1.0	31.5	-1.0	33.7	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0
mean	0.3425	-1.0	0.374	-1.0	0.3653	-1.0	0.4441	-1.0	0.3226	-1.0	0.2777	-1.0	0.4115	-1.0	0.7791	-1.0	0.426	-1.0	0.4057	-1.0
std	0.2105	-1.0	0.2202	-1.0	0.2119	-1.0	0.2378	-1.0	0.2542	-1.0	0.3232	-1.0	0.1923	-1.0	0.3132	-1.0	0.3595	-1.0	0.3699	-1.0
min	0.0823	-1.0	0.1323	-1.0	0.1274	-1.0	0.14	-1.0	0.0101	-1.0	0.0038	-1.0	0.1492	-1.0	0.0	-1.0	0.0006	-1.0	0.0049	-1.0
25%	0.1792	5.5	0.1998	5.53	0.2076	6.0	0.2393	5.53	0.1339	5.53	0.0115	6.03	0.2724	5.53	0.7212	6.03	0.0463	6.03	0.0639	6.03
50%	0.2557	8.27	0.2572	8.27	0.2742	8.27	0.3601	7.52	0.2428	7.52	0.0697	8.27	0.3305	7.52	0.9433	9.02	0.3774	9.02	0.2292	8.27
60%	0.3212	10.28	0.3624	8.49	0.3465	9.43	0.4575	9.35	0.298	9.35	0.221	8.41	0.3895	9.43	0.962	10.38	0.5493	11.32	0.4602	10.28
70%	0.428	8.75	0.4919	11.25	0.4278	12.5	0.6011	10.0	0.3772	12.5	0.5015	11.25	0.5084	10.0	0.9776	12.5	0.7226	13.75	0.7223	12.5
75%	0.4797	10.45	0.5487	10.45	0.4924	11.94	0.6525	11.94	0.4275	14.93	0.5717	13.43	0.5615	11.94	0.9827	13.43	0.8029	14.93	0.8131	14.93
80%	0.5506	13.21	0.6166	11.32	0.5479	15.09	0.6909	13.21	0.4982	18.87	0.7222	14.81	0.6032	11.11	0.9872	16.98	0.8519	18.52	0.8671	16.98
85%	0.584	17.5	0.6599	15.0	0.618	17.5	0.7307	15.0	0.645	22.5	0.7536	17.5	0.6371	15.0	0.9912	20.0	0.8886	22.5	0.9137	22.5
86%	0.5901	18.42	0.6693	15.79	0.6334	15.79	0.7361	15.79	0.6712	23.68	0.7556	18.42	0.6423	15.79	0.9917	21.62	0.8953	23.68	0.9227	23.68
87%	0.605	17.14	0.6807	17.14	0.6366	17.14	0.7421	17.14	0.6976	22.86	0.7577	20.0	0.6487	17.14	0.9926	20.0	0.898	25.71	0.9329	25.71
88%	0.6239	18.75	0.6882	18.75	0.6471	18.75	0.7452	18.75	0.722	21.88	0.7648	21.88	0.6578	18.75	0.993	22.58	0.906	28.12	0.9381	28.12
89%	0.6402	20.0	0.692	20.0	0.6623	20.0	0.7488	16.67	0.7343	20.0	0.7668	23.33	0.6613	20.0	0.9933	20.69	0.9183	30.0	0.9454	30.0
90%	0.6523	22.22	0.7127	22.22	0.6713	22.22	0.7513	18.52	0.7442	18.52	0.7725	25.93	0.666	22.22	0.9942	18.52	0.9298	33.33	0.953	33.33
91%	0.6665	25.0	0.7164	20.83	0.688	25.0	0.758	20.83	0.7855	16.67	0.7802	25.0	0.6766	20.83	0.9952	12.5	0.942	29.17	0.96	37.5
92%	0.6829	22.73	0.7381	22.73	0.7026	27.27	0.7969	22.73	0.8119	18.18	0.7934	27.27	0.698	22.73	0.9954	14.29	0.9489	31.82	0.967	36.36
93%	0.7208	26.32	0.745	26.32	0.7189	26.32	0.8226	26.32	0.8328	21.05	0.7977	26.32	0.7165	26.32	0.9956	15.0	0.9644	36.84	0.9733	36.84
94%	0.7705	31.25	0.7536	31.25	0.7346	31.25	0.8991	31.25	0.8503	18.75	0.8241	31.25	0.7861	31.25	0.9962	17.65	0.9756	37.5	0.977	43.75
95%	0.8315	35.71	0.8224	28.57	0.8443	28.57	0.9404	35.71	0.8877	21.43	0.843	28.57	0.8429	28.57	0.9971	21.43	0.9807	42.86	0.9801	42.86
96%	0.8371	40.0	0.8488	36.36	0.9118	36.36	0.9502	36.36	0.9124	27.27	0.8603	27.27	0.8649	36.36	0.9975	27.27	0.9871	45.45	0.9824	45.45
97%	0.8449	50.0	0.8683	50.0	0.9313	37.5	0.9596	37.5	0.9302	25.0	0.8694	25.0	0.8756	37.5	0.9984	37.5	0.9906	62.5	0.9862	50.0
98%	0.8645	50.0	0.8821	33.33	0.9468	42.86	0.9655	33.33	0.9484	16.67	0.9124	33.33	0.885	50.0	0.9989	50.0	0.9914	60.0	0.9884	66.67
max	0.9058	-1.0	0.9285	-1.0	0.9636	-1.0	0.9829	-1.0	0.9904	-1.0	0.9692	-1.0	0.9312	-1.0	0.9998	-1.0	0.9993	-1.0	0.9956	-1.0
